gene,lfc,fdr
Gatm,-0.07549097486509823,0.0012323233790262889
Elavl2,0.17237501210979567,0.0013678574140758763
Myo5a,0.1352431106805822,0.0013682786706594328
Zcchc18,-0.17774641391913826,0.001428481583738188
Tacr3,-0.08265401435951764,0.0015083300854769064
Tusc3,-0.12392075270646818,0.0015156915967299497
Kif3c,0.0963240106823626,0.0015184259588399013
Gm26561,0.11961685251378373,0.0015505491870830303
Psd3,0.1253698484662074,0.0015505491870830303
Tcta,0.07419510574699686,0.0016425389627426476
Armcx1,0.09298407683614668,0.001705862210013719
Spock3,-0.09793100502178459,0.001778690776116504
Tcf12,-0.07506645131259686,0.001781484079756886
Nrxn3,0.2465762771572897,0.0018164615230327943
Cmss1,0.12293450236087411,0.0019013313352456774
Got1,0.14584101907638375,0.0019637386251725106
Rps17,-0.15495219106697866,0.0019637386251725106
Stmn3,0.14360475515585147,0.0019637386251725106
Garnl3,0.08261412635390755,0.002087785773494369
Snca,0.18090574858035913,0.002087785773494369
Frrs1l,-0.07197290591540384,0.002093618365295935
Calm3,0.16133678650511363,0.0021218314936183864
Gng13,0.07836139762170427,0.002187860222435614
Idh3a,0.08214874984414317,0.002187860222435614
1110008P14Rik,0.15599253352237996,0.002216586587566762
Actg1,0.07341034664380178,0.002216586587566762
Grm7,-0.11252479695408563,0.002242884437123329
Gm26825,0.13742813622241679,0.002249435531580426
Atp6v1e1,0.1835531796501526,0.00229543513421535
Ttll7,0.11980765192776421,0.002307009238336132
Csrp1,-0.1134757443061668,0.0023253301061883116
Pnpla7,-0.05768336878446792,0.002350146066259463
Gm36264,-0.12956720575723635,0.002373173999436042
Grik2,-0.06885522476181574,0.002460945201805916
Lin7b,0.10066746389145295,0.002496128872714572
Rtn4,0.1749126607107111,0.002503171797504993
Srsf3,-0.11954927631114154,0.0025084820592751415
Gstm1,-0.0883259090241757,0.0025248553922354662
Sult4a1,0.14304921751451738,0.0025561154630547693
Gpi1,0.170611710463336,0.0025820934527821977
Timm13,0.06123557714061756,0.002594688949327636
Ntm,0.14335713428961244,0.0026078027126392876
Vmp1,-0.1534124636917824,0.002707410232866784
Pcdh10,-0.09761859034323878,0.0027642605362156705
Nap1l1,-0.14164003012574333,0.002786202211552083
Bcas1,-0.07577718303292777,0.0028147983690348906
Arl2bp,0.11775564198584731,0.0029874551262802046
Rplp2,-0.14105837120293918,0.003033310533535713
Car2,-0.08873754996935554,0.0031557513814198562
Nsf,0.15404689668640514,0.0031557513814198562
Cd81,-0.16312494455240478,0.0031569458548472073
Sv2a,0.15942891748510568,0.0031569458548472073
Bex4,-0.09087844238555909,0.0031738818622874736
Ldha,-0.16087349995370315,0.0031738818622874736
Sh3gl2,0.10996144009757075,0.003182443064170652
Fars2,0.08771123708854828,0.0032322058724377953
Ap3s2,0.06879603914073049,0.0033540640064201777
Atp1a3,0.15819147699180414,0.0033540640064201777
Enpp5,0.10907074156549318,0.0033540640064201777
Gnb1,0.15920149254656024,0.0033540640064201777
Rpl18,-0.17768860336775538,0.003368235592116816
Chst1,-0.10509618401402676,0.003386326938510965
Ssbp3,-0.09005450339247156,0.003386326938510965
Cmtm5,-0.07345683327305128,0.0034132724875695418
Eef1b2,-0.16722763788149808,0.0034132724875695418
Atp5c1,0.17253233844014348,0.0034565680359047598
Ctxn2,-0.15089088478117274,0.0034565680359047598
Atp1a1,-0.058856874276347004,0.003569604394906024
Rell2,0.08834843719502739,0.003647294482194958
Erp29,-0.13525170556249183,0.003761143183728689
Hspa4l,0.11770511644505088,0.0037761165383508885
Enho,0.11014817271441957,0.0038799776623349384
Dynll2,0.16872733653687244,0.003926159164472642
Paip2,0.14191784505964822,0.003926159164472642
Tceal6,-0.09811750277047693,0.003926159164472642
Ndufb8,0.1808610831124584,0.004068640323672274
Rpl18a,-0.13219210480134125,0.0041309942887113845
Syngr3,0.136020868149351,0.0041309942887113845
Trpc6,0.0783948435244415,0.0041309942887113845
Klc1,0.16560894990172637,0.004244100639546048
Mgp,-0.06195183205714566,0.004271215386048237
Cox14,0.14609103469165596,0.004288144596902933
Phyhipl,-0.0906260021265177,0.0043309624302027725
Med26,0.14665905082733477,0.0043604595849489666
Dnajc6,0.11861914999862017,0.0044284912859531775
Tsr3,-0.07580829927454319,0.004467104107955048
Polr2l,0.10154680067592703,0.004469031494895161
Hagh,-0.11310191656288437,0.004528224546864234
Prdx1,-0.16336511974599677,0.0045310497129506565
Podxl2,-0.09857511777201342,0.004545343226244444
Hpca,-0.12008503006959886,0.004609571769782647
Setd7,0.08226783968804802,0.0046101541325890725
Glrx3,0.1195675411980392,0.004622033010531034
Phactr3,-0.07938771429948244,0.004622033010531034
